+-----------------------------------------------------------------+
|             All CSS property-value combinations,                |
|              that appeared more than 1000 times.                |
+-----------------------------+--------------------------+--------+
| CSS property                | CSS property value       | count  |
| position                    | absolute                 |  99795 |
| position                    | relative                 |  62071 |
| position                    | static                   |   3419 |
| position                    | fixed                    |   1046 |
| postion                     | absolute                 |   1219 |
| pozsition                   | absolute                 |   5040 |
| publisherstylename          | normal                   |   2461 |
| p\osition                   | absolute                 |   4609 |
| quotes                      | none                     |  14009 |
| right                       | px                       |  17852 |
| right                       | auto                     |   4416 |
| right                       | INTEGER                  |   2463 |
| scroll-text                 | #000000                  |   2666 |
| scrollbar-3d-light-color    | #rrggbb                  |  50965 |
| scrollbar-3dlight-color     | #rrggbb                  |  14362 |
| scrollbar-3dlight-color     | #ffffff                  |   8541 |
| scrollbar-3dlight-color     | #000000                  |   1796 |
| scrollbar-arrow-color       | #000000                  |  21016 |
| scrollbar-arrow-color       | #rrggbb                  |  15586 |
| scrollbar-arrow-color       | #ffffff                  |   7186 |
| scrollbar-base-color        | #rrggbb                  |  15612 |
| scrollbar-base-color        | #ffffff                  |  10598 |
| scrollbar-base-color        | #000000                  |   3541 |
| scrollbar-dark-shadow-color | #rrggbb                  |  17567 |
| scrollbar-darkshadow-color  | #rrggbb                  |  13009 |
| scrollbar-darkshadow-color  | #ffffff                  |   7384 |
| scrollbar-darkshadow-color  | black                    |   4837 |
| scrollbar-darkshadow-color  | #000000                  |   3668 |
| scrollbar-face-color        | #rrggbb                  |  20042 |
| scrollbar-face-color        | #ffffff                  |   2939 |
| scrollbar-face-color        | #000000                  |   1199 |
| scrollbar-highlight-color   | #rrggbb                  |  14256 |
| scrollbar-highlight-color   | #ffffff                  |   6595 |
| scrollbar-highlight-color   | #000000                  |   2399 |
| scrollbar-shadow-color      | #rrggbb                  |  16408 |
| scrollbar-shadow-color      | #ffffff                  |   5661 |
| scrollbar-shadow-color      | #000000                  |   2797 |
| scrollbar-track-color       | #rrggbb                  |  16275 |
| scrollbar-track-color       | #ffffff                  |   4065 |
| scrollbar-track-color       | #000000                  |   1324 |
| separator-image             | url(gif)                 |   3548 |
| size                        | in                       |   5902 |
| size                        | pt                       |   2256 |
| speak                       | normal                   |   5004 |
| style-collapse              | collapse                 |   5441 |
| tab-interval                | pt                       |   2635 |
| tab-interval                | in                       |   2296 |
| tab-stops                   | list                     |   1501 |
| tab-stops                   | pt                       |   1442 |
| table-border-color-dark     | rgb()                    |   2350 |
| table-border-color-light    | rgb()                    |   2451 |
| table-layout                | fixed                    |   5867 |
| test-align                  | justify                  |   1923 |
| text-align                  | center                   | 141624 |
| text-align                  | left                     |  92481 |
| text-align                  | right                    |  71240 |
| text-align                  | justify                  |  52913 |
| text-align                  | none                     |   1087 |
| text-align1                 | justify                  |   1041 |
| text-alignx                 | left                     |   3044 |
| text-autospace              | none                     |  12878 |
| text-color                  | #ffffff                  |   6805 |
| text-decoration             | none                     | 277942 |
| text-decoration             | underline                | 221578 |
| text-decoration             | overline                 |   4179 |
| text-decoration             | line-through             |   4034 |
| text-decoration             | blink                    |   3027 |
| text-decoration             | bold                     |   1540 |
| text-indent                 | px                       |  23050 |
| text-indent                 | pt                       |   5407 |
| text-indent                 | em                       |   4208 |
| text-indent                 | INTEGER                  |   3934 |
| text-indent                 | in                       |   1101 |
| text-overflow               | ellipsis                 |   2082 |
| text-shadow                 | px                       |  31983 |
| text-shadow                 | #rrggbb                  |   6564 |
| text-shadow                 | #rgb                     |   2907 |
| text-shadow                 | yellow                   |   1091 |
| text-style                  | italic                   |   3791 |
| text-style                  | bold                     |   3644 |
| text-transform              | uppercase                |  39265 |
| text-transform              | none                     |  15038 |
| text-transform              | capitalize               |   6244 |
| text-transform              | lowercase                |   3415 |
| text-underline              | single                   |   4743 |
| text-underline              | none                     |   2439 |
| text-valign                 | middle                   |   7915 |
| text-weight                 | bold                     |  36412 |
| top                         | px                       |  74368 |
| top                         | em                       |  27447 |
| top                         | INTEGER                  |  26192 |
| top                         | auto                     |   3784 |
| top                         | %                        |   1578 |
| top-bar-button              | url(gif)                 |  18806 |
| vertical-align              | middle                   |  53506 |
| vertical-align              | top                      |  48331 |
| vertical-align              | center                   |  25125 |
| vertical-align              | bottom                   |  16460 |
| vertical-align              | baseline                 |  10965 |
| vertical-align              | text-top                 |   4580 |
| vertical-align              | text-bottom              |   3967 |
| vertical-align              | super                    |   1790 |
| vertical-align              | none                     |   1055 |
| visibility                  | hidden                   |  48289 |
| visibility                  | visible                  |  13872 |
| visibility                  | INHERIT                  |   1226 |
| voice-family                | INHERIT                  |   5046 |
| voice-family                | "\"}\""                  |   4141 |
| was                         | #rrggbb                  |   5838 |
| white-space                 | nowrap                   |  29729 |
| white-space                 | normal                   |   4021 |
| white-space                 | pre                      |   1655 |
| width                       | px                       | 161569 |
| width                       | %                        |  88943 |
| width                       | INTEGER                  |  44401 |
| width                       | auto                     |  19531 |
| width                       | em                       |   6976 |
| width                       | pt                       |   5371 |
| width                       | in                       |   1253 |
| with                        | px                       |  19061 |
| word-spacing                | px                       |  28730 |
| word-spacing                | INTEGER                  |  12950 |
| word-spacing                | pt                       |   7528 |
| word-spacing                | normal                   |   2407 |
| word-wrap                   | break-word               |   1098 |
| w\idth                      | px                       |  86065 |
| x-background                | no-repeat                |   5224 |
| x-background                | url(jpg)                 |   3465 |
| xbackground-color           | #rgb                     |  24578 |
| xfont-family                | sans-serif               |  16007 |
| z-index                     | INTEGER                  |  68466 |
| z-order                     | INTEGER                  |   3532 |
| ~MISSING~                   | INTEGER                  |  10211 |
| ~MISSING~                   | %                        |   1959 |
+-----------------------------+--------------------------+--------+
